id,name,lastname,price,flycode,typePassenger,statusFlight
1,Lou,Gonzalez,10000.00,Ba2491a,FirstClass,Aterrizado
2,Ulrike,Munioz,25000.00,Ib0800a,FirstClass,Aterrizado
3,Brade,Rojas,20000.00,Mm0987b,FirstClass,En horario
4,Kimbell,Diaz,50000.00,Ba2491a,FirstClass,Aterrizado
5,Sheelagh,Perez,18000.00,Ib0800a,FirstClass,Aterrizado
6,Gayle,Soto,30000.00,Mm0987b,FirstClass,En horario
7,Kimberlee,Contreras,33000.00,Ba2491a,FirstClass,Aterrizado
8,Henrieta,Silva,30000.00,Ib0800a,FirstClass,Aterrizado
9,Jeanine,Martinez,18000.00,Mm0987b,FirstClass,En horario
10,Aggie,Sepulveda,15000.00,Ba2491a,FirstClass,Aterrizado
11,Brandea,Morales,15000.00,Ib0800a,FirstClass,Aterrizado
12,Cordelie,Rodriguez,50000.00,Ib0800a,FirstClass,Aterrizado
13,Shel,Lopez,50000.00,Mm0987b,FirstClass,En horario
14,Bronnie,Fuentes,20000.00,Mm0987b,FirstClass,En horario
15,Megen,Hernandez,10000.00,Ba2491a,FirstClass,Aterrizado
16,Iver,Torres,12000.00,Ba2491a,FirstClass,Aterrizado
17,Ernesta,Araya,37000.00,Ba2491a,FirstClass,Aterrizado
18,Cirillo,Flores,50000.00,Mm0987b,FirstClass,En horario
19,Park,Espinoza,30000.00,Mm0987b,FirstClass,En horario
20,Bellanca,Valenzuela,15000.00,Ba2491a,FirstClass,Aterrizado
21,Bobbye,Castillo,15000.00,Ba2491a,FirstClass,Aterrizado
22,Eugene,Tapia,50000.00,Ba2491a,FirstClass,Aterrizado
23,Johnny,Reyes,33000.00,Mm0987b,FirstClass,En horario
24,Reagen,Gutierrez,42000.00,Mm0987b,FirstClass,En horario
25,Braden,Castro,25000.00,Mm0987b,FirstClass,En horario
26,Karim,Pizarro,25000.00,Mm0987b,FirstClass,En horario
27,Anthea,Alvarez,42000.00,Mm0987b,FirstClass,En horario
28,Doro,Vasquez,33000.00,Ib0800a,FirstClass,Aterrizado
29,Gaye,Sanchez,37000.00,Ib0800a,FirstClass,Aterrizado
30,Toby,Fernandez,15000.00,Ib0800a,FirstClass,Aterrizado
31,Franny,Ramirez,15000.00,Ib0800a,FirstClass,Aterrizado
32,Katey,Carrasco,42000.00,Mm0987b,FirstClass,En horario
33,Earle,Gomez,10000.00,Ba2491a,FirstClass,Aterrizado
34,Redd,Cortes,42000.00,Ba2491a,FirstClass,Aterrizado
35,Jehanna,Herrera,50000.00,Ba2491a,FirstClass,Aterrizado
36,Cristie,Nuniez,10000.00,Ba2491a,FirstClass,Aterrizado
37,Stefa,Jara,42000.00,Ba2491a,FirstClass,Aterrizado
38,Roda,Vergara,25000.00,Mm0987b,FirstClass,En horario
39,Alfredo,Rivera,10000.00,Mm0987b,FirstClass,En horario
40,Sydney,Figueroa,10000.00,Mm0987b,FirstClass,En horario
41,Brnaba,Riquelme,30000.00,Mm0987b,FirstClass,En horario
42,Ame,Garcia,50000.00,Ba2491a,ExecutiveClass,Aterrizado
43,Bradney,Miranda,25000.00,Ba2491a,ExecutiveClass,Aterrizado
44,Margarete,Bravo,50000.00,Ba2491a,ExecutiveClass,Aterrizado
45,Nikoletta,Vera,50000.00,Mm0987b,FirstClass,En horario
46,Lonnard,Molina,50000.00,Ib0800a,FirstClass,Aterrizado
47,Raine,Vega,30000.00,Ib0800a,FirstClass,Aterrizado
48,Noella,Campos,15000.00,Ib0800a,FirstClass,Aterrizado
49,Dagmar,Sandoval,25000.00,Ib0800a,FirstClass,Aterrizado
50,Carroll,Orellana,42000.00,Ib0800a,FirstClass,Aterrizado
51,Marion,Cardenas,50000.00,Ib0800a,FirstClass,Aterrizado
52,Carline,Olivares,12000.00,Ib0800a,FirstClass,Aterrizado
53,Hyacinthie,Alarcon,15000.00,Mm0987b,FirstClass,En horario
54,Julina,Gallardo,33000.00,Mm0987b,FirstClass,En horario
55,Corina,Ortiz,37000.00,Mm0987b,FirstClass,En horario
56,Bernardine,Garrido,33000.00,Mm0987b,FirstClass,En horario
57,Homer,Salazar,18000.00,Mm0987b,FirstClass,En horario
58,Lianna,Guzman,12000.00,Mm0987b,FirstClass,En horario
59,Celene,Henriquez,50000.00,Mm0987b,FirstClass,En horario
60,Kori,Saavedra,50000.00,Mm0987b,FirstClass,En horario
61,Deeyn,Navarro,20000.00,Mm0987b,FirstClass,En horario
62,Marysa,Aguilera,20000.00,Mm0987b,FirstClass,En horario
